1870, 1, 4.16
1870, 2, 4.33
1870, 3, 4.43
1870, 4, 4.48
1870, 5, 4.74
1870, 6, 4.60
1870, 7, 4.28
1870, 8, 4.21
1870, 9, 4.16
1870,10, 4.10
1870,11, 4.23
1870,12, 4.31
1871, 1, 4.55
1871, 2, 4.66
1871, 3, 4.25
1871, 4, 4.02
1871, 5, 3.98
1871, 6, 3.97
1871, 7, 4.01
1871, 8, 4.14
1871, 9, 4.29
1871,10, 4.37
1871,11, 4.23
1871,12, 3.97
1872, 1, 3.96
1872, 2, 4.11
1872, 3, 4.03
1872, 4, 4.12
1872, 5, 4.28
1872, 6, 4.38
1872, 7, 4.31
1872, 8, 3.96
1872, 9, 3.87
1872,10, 3.99
1872,11, 3.98
1872,12, 3.97
1873, 1, 4.18
1873, 2, 4.59
1873, 3, 4.55
1873, 4, 4.27
1873, 5, 4.17
1873, 6, 4.10
1873, 7, 4.17
1873, 8, 4.21
1873, 9, 4.17
1873,10, 4.33
1873,11, 4.50
1873,12, 4.40
1874, 1, 4.18
1874, 2, 4.11
1874, 3, 4.03
1874, 4, 4.10
1874, 5, 4.30
1874, 6, 4.49
1874, 7, 4.53
1874, 8, 4.57
1874, 9, 4.22
1874,10, 4.02
1874,11, 4.04
1874,12, 4.04
1875, 1, 3.93
1875, 2, 4.25
1875, 3, 4.51
1875, 4, 4.61
1875, 5, 4.44
1875, 6, 4.25
1875, 7, 4.21
1875, 8, 4.18
1875, 9, 4.16
1875,10, 4.31
1875,11, 4.55
1875,12, 4.76
1876, 1, 4.67
1876, 2, 4.51
1876, 3, 4.41
1876, 4, 4.42
1876, 5, 4.47
1876, 6, 4.65
1876, 7, 4.86
1876, 8, 5.00
1876, 9, 4.87
1876,10, 4.58
1876,11, 4.54
1876,12, 4.57
1877, 1, 4.55
1877, 2, 4.69
1877, 3, 4.93
1877, 4, 4.97
1877, 5, 4.81
1877, 6, 4.34
1877, 7, 4.17
1877, 8, 4.37
1877, 9, 4.20
1877,10, 4.24
1877,11, 4.45
1877,12, 4.70
1878, 1, 4.90
1878, 2, 4.63
1878, 3, 4.18
1878, 4, 4.18
1878, 5, 4.29
1878, 6, 4.14
1878, 7, 4.32
1878, 8, 4.47
1878, 9, 4.55
1878,10, 4.52
1878,11, 4.23
1878,12, 4.06
1879, 1, 4.20
1879, 2, 4.33
1879, 3, 4.14
1879, 4, 4.52
1879, 5, 4.78
1879, 6, 4.58
1879, 7, 4.28
1879, 8, 4.17
1879, 9, 4.05
1879,10, 4.03
1879,11, 4.28
1879,12, 4.10
1880, 1, 4.36
1880, 2, 4.75
1880, 3, 4.30
1880, 4, 4.06
1880, 5, 4.18
1880, 6, 4.02
1880, 7, 4.03
1880, 8, 4.35
1880, 9, 4.27
1880,10, 4.42
1880,11, 4.49
1880,12, 4.20
1881, 1, 4.02
1881, 2, 4.14
1881, 3, 4.08
1881, 4, 4.11
1881, 5, 4.37
1881, 6, 4.39
1881, 7, 4.49
1881, 8, 4.15
1881, 9, 3.95
1881,10, 4.16
1881,11, 4.06
1881,12, 4.03
1882, 1, 4.29
1882, 2, 4.54
1882, 3, 4.68
1882, 4, 4.35
1882, 5, 4.20
1882, 6, 4.16
1882, 7, 4.06
1882, 8, 4.13
1882, 9, 4.28
1882,10, 4.43
1882,11, 4.69
1882,12, 4.55
1883, 1, 4.25
1883, 2, 4.21
1883, 3, 4.30
1883, 4, 4.33
1883, 5, 4.44
1883, 6, 4.67
1883, 7, 4.77
1883, 8, 4.71
1883, 9, 4.50
1883,10, 4.30
1883,11, 4.48
1883,12, 4.58
1884, 1, 4.50
1884, 2, 4.62
1884, 3, 4.92
1884, 4, 5.12
1884, 5, 4.80
1884, 6, 4.55
1884, 7, 4.46
1884, 8, 4.51
1884, 9, 4.49
1884,10, 4.66
1884,11, 4.92
1884,12, 5.09
1885, 1, 4.92
1885, 2, 4.83
1885, 3, 4.69
1885, 4, 4.60
1885, 5, 4.86
1885, 6, 4.84
1885, 7, 4.95
1885, 8, 5.32
1885, 9, 5.16
1885,10, 4.64
1885,11, 4.70
1885,12, 4.71
1886, 1, 4.58
1886, 2, 4.62
1886, 3, 4.67
1886, 4, 4.94
1886, 5, 4.85
1886, 6, 4.45
1886, 7, 4.27
1886, 8, 4.40
1886, 9, 4.35
1886,10, 4.34
1886,11, 4.47
1886,12, 4.65
1887, 1, 4.87
1887, 2, 4.65
1887, 3, 4.33
1887, 4, 4.28
1887, 5, 4.37
1887, 6, 4.34
1887, 7, 4.39
1887, 8, 4.57
1887, 9, 4.74
1887,10, 4.79
1887,11, 4.48
1887,12, 4.33
1888, 1, 4.31
1888, 2, 4.45
1888, 3, 4.47
1888, 4, 4.60
1888, 5, 4.79
1888, 6, 4.69
1888, 7, 4.40
1888, 8, 4.26
1888, 9, 4.25
1888,10, 4.17
1888,11, 4.16
1888,12, 4.24
1889, 1, 4.46
1889, 2, 4.66
1889, 3, 4.41
1889, 4, 4.16
1889, 5, 4.28
1889, 6, 4.29
1889, 7, 4.31
1889, 8, 4.56
1889, 9, 4.70
1889,10, 4.70
1889,11, 4.63
1889,12, 4.44
1890, 1, 4.31
1890, 2, 4.38
1890, 3, 4.53
1890, 4, 4.64
1890, 5, 4.70
1890, 6, 4.89
1890, 7, 4.74
1890, 8, 4.31
1890, 9, 4.34
1890,10, 4.30
1890,11, 4.24
1890,12, 4.38
1891, 1, 4.40
1891, 2, 4.58
1891, 3, 4.85
1891, 4, 4.42
1891, 5, 4.36
1891, 6, 4.53
1891, 7, 4.36
1891, 8, 4.45
1891, 9, 4.70
1891,10, 4.70
1891,11, 4.84
1891,12, 4.87
1892, 1, 4.59
1892, 2, 4.25
1892, 3, 4.49
1892, 4, 4.49
1892, 5, 4.68
1892, 6, 4.95
1892, 7, 4.98
1892, 8, 4.85
1892, 9, 4.55
1892,10, 4.43
1892,11, 4.38
1892,12, 4.61
1893, 1, 4.52
1893, 2, 4.66
1893, 3, 4.97
1893, 4, 5.07
1893, 5, 4.83
1893, 6, 4.61
1893, 7, 4.44
1893, 8, 4.50
1893, 9, 4.55
1893,10, 4.57
1893,11, 4.95
1893,12, 5.17
1894, 1, 4.88
1894, 2, 4.81
1894, 3, 4.77
1894, 4, 4.76
1894, 5, 4.89
1894, 6, 5.04
1894, 7, 5.23
1894, 8, 5.48
1894, 9, 5.40
1894,10, 4.87
1894,11, 4.80
1894,12, 4.90
1895, 1, 4.92
1895, 2, 4.87
1895, 3, 5.03
1895, 4, 5.16
1895, 5, 5.01
1895, 6, 4.69
1895, 7, 4.47
1895, 8, 4.46
1895, 9, 4.39
1895,10, 4.44
1895,11, 4.46
1895,12, 4.73
1896, 1, 4.91
1896, 2, 4.58
1896, 3, 4.35
1896, 4, 4.25
1896, 5, 4.28
1896, 6, 4.24
1896, 7, 4.36
1896, 8, 4.47
1896, 9, 4.77
1896,10, 4.77
1896,11, 4.52
1896,12, 4.54
1897, 1, 4.48
1897, 2, 4.42
1897, 3, 4.53
1897, 4, 4.74
1897, 5, 4.84
1897, 6, 4.78
1897, 7, 4.41
1897, 8, 4.31
1897, 9, 4.34
1897,10, 4.36
1897,11, 4.40
1897,12, 4.57
1898, 1, 4.78
1898, 2, 4.87
1898, 3, 4.71
1898, 4, 4.31
1898, 5, 4.26
1898, 6, 4.36
1898, 7, 4.32
1898, 8, 4.50
1898, 9, 4.77
1898,10, 4.79
1898,11, 4.59
1898,12, 4.55
1899, 1, 4.43
1899, 2, 4.25
1899, 3, 4.40
1899, 4, 4.33
1899, 5, 4.46
1899, 6, 4.62
1899, 7, 4.48
1899, 8, 4.05
1899, 9, 4.08
1899,10, 4.14
1899,11, 3.97
1899,12, 4.15
1900, 1, 4.17
1900, 2, 4.31
1900, 3, 4.67
1900, 4, 4.17
1900, 5, 3.88
1900, 6, 4.11
1900, 7, 3.98
1900, 8, 3.84
1900, 9, 4.20
1900,10, 4.32
1900,11, 4.51
1900,12, 4.51
1901, 1, 4.22
1901, 2, 4.21
1901, 3, 4.33
1901, 4, 4.27
1901, 5, 4.44
1901, 6, 4.64
1901, 7, 4.72
1901, 8, 4.56
1901, 9, 4.34
1901,10, 4.13
1901,11, 4.00
1901,12, 4.33
1902, 1, 4.25
1902, 2, 4.30
1902, 3, 4.67
1902, 4, 4.90
1902, 5, 4.48
1902, 6, 4.29
1902, 7, 4.41
1902, 8, 4.30
1902, 9, 4.33
1902,10, 4.42
1902,11, 4.53
1902,12, 4.81
1903, 1, 4.68
1903, 2, 4.52
1903, 3, 4.49
1903, 4, 4.52
1903, 5, 4.64
1903, 6, 4.70
1903, 7, 4.81
1903, 8, 5.13
1903, 9, 4.96
1903,10, 4.60
1903,11, 4.59
1903,12, 4.72
1904, 1, 4.69
1904, 2, 4.76
1904, 3, 4.85
1904, 4, 4.96
1904, 5, 4.83
1904, 6, 4.37
1904, 7, 4.16
1904, 8, 4.32
1904, 9, 4.25
1904,10, 4.32
1904,11, 4.58
1904,12, 4.84
1905, 1, 5.07
1905, 2, 4.76
1905, 3, 4.49
1905, 4, 4.43
1905, 5, 4.47
1905, 6, 4.45
1905, 7, 4.64
1905, 8, 4.76
1905, 9, 4.90
1905,10, 4.80
1905,11, 4.62
1905,12, 4.36
1906, 1, 4.32
1906, 2, 4.48
1906, 3, 4.45
1906, 4, 4.54
1906, 5, 4.78
1906, 6, 4.68
1906, 7, 4.27
1906, 8, 4.11
1906, 9, 4.10
1906,10, 3.93
1906,11, 4.11
1906,12, 4.24
1907, 1, 4.32
1907, 2, 4.59
1907, 3, 4.37
1907, 4, 4.07
1907, 5, 4.17
1907, 6, 4.06
1907, 7, 3.94
1907, 8, 4.28
1907, 9, 4.39
1907,10, 4.54
1907,11, 4.53
1907,12, 4.33
1908, 1, 4.23
1908, 2, 4.22
1908, 3, 4.25
1908, 4, 4.21
1908, 5, 4.40
1908, 6, 4.59
1908, 7, 4.52
1908, 8, 4.08
1908, 9, 4.00
1908,10, 4.03
1908,11, 4.06
1908,12, 4.15
1909, 1, 4.06
1909, 2, 4.34
1909, 3, 4.66
1909, 4, 4.32
1909, 5, 4.06
1909, 6, 4.24
1909, 7, 4.19
1909, 8, 4.13
1909, 9, 4.44
1909,10, 4.42
1909,11, 4.70
1909,12, 4.69
1910, 1, 4.35
1910, 2, 4.30
1910, 3, 4.47
1910, 4, 4.33
1910, 5, 4.41
1910, 6, 4.78
1910, 7, 4.88
1910, 8, 4.65
1910, 9, 4.47
1910,10, 4.28
1910,11, 4.19
1910,12, 4.37
1911, 1, 4.35
1911, 2, 4.62
1911, 3, 4.89
1911, 4, 5.02
1911, 5, 4.74
1911, 6, 4.63
1911, 7, 4.51
1911, 8, 4.36
1911, 9, 4.45
1911,10, 4.58
1911,11, 4.76
1911,12, 5.00
1912, 1, 4.79
1912, 2, 4.62
1912, 3, 4.69
1912, 4, 4.74
1912, 5, 4.65
1912, 6, 4.94
1912, 7, 5.09
1912, 8, 5.16
1912, 9, 5.26
1912,10, 4.83
1912,11, 4.78
1912,12, 4.83
1913, 1, 4.83
1913, 2, 4.80
1913, 3, 4.95
1913, 4, 5.03
1913, 5, 4.87
1913, 6, 4.68
1913, 7, 4.37
1913, 8, 4.42
1913, 9, 4.48
1913,10, 4.47
1913,11, 4.68
1913,12, 4.90
1914, 1, 5.04
1914, 2, 4.59
1914, 3, 4.39
1914, 4, 4.20
1914, 5, 4.24
1914, 6, 4.29
1914, 7, 4.42
1914, 8, 4.62
1914, 9, 4.80
1914,10, 4.71
1914,11, 4.45
1914,12, 4.33
1915, 1, 4.20
1915, 2, 4.34
1915, 3, 4.42
1915, 4, 4.48
1915, 5, 4.72
1915, 6, 4.62
1915, 7, 4.28
1915, 8, 4.12
1915, 9, 4.16
1915,10, 4.13
1915,11, 4.19
1915,12, 4.23
1916, 1, 4.46
1916, 2, 4.67
1916, 3, 4.38
1916, 4, 4.16
1916, 5, 4.13
1916, 6, 4.12
1916, 7, 4.22
1916, 8, 4.40
1916, 9, 4.53
1916,10, 4.72
1916,11, 4.65
1916,12, 4.37
1917, 1, 4.29
1917, 2, 4.33
1917, 3, 4.27
1917, 4, 4.30
1917, 5, 4.47
1917, 6, 4.65
1917, 7, 4.63
1917, 8, 4.11
1917, 9, 4.00
1917,10, 4.09
1917,11, 4.19
1917,12, 4.26
1918, 1, 4.36
1918, 2, 4.53
1918, 3, 4.81
1918, 4, 4.52
1918, 5, 4.27
1918, 6, 4.39
1918, 7, 4.24
1918, 8, 4.24
1918, 9, 4.49
1918,10, 4.61
1918,11, 4.72
1918,12, 4.67
1919, 1, 4.43
1919, 2, 4.24
1919, 3, 4.34
1919, 4, 4.34
1919, 5, 4.39
1919, 6, 4.63
1919, 7, 4.71
1919, 8, 4.70
1919, 9, 4.33
1919,10, 4.20
1919,11, 4.30
1919,12, 4.36
1920, 1, 4.27
1920, 2, 4.55
1920, 3, 4.71
1920, 4, 4.80
1920, 5, 4.64
1920, 6, 4.42
1920, 7, 4.41
1920, 8, 4.43
1920, 9, 4.47
1920,10, 4.44
1920,11, 4.67
1920,12, 4.80
1921, 1, 4.63
1921, 2, 4.53
1921, 3, 4.45
1921, 4, 4.49
1921, 5, 4.57
1921, 6, 4.78
1921, 7, 4.82
1921, 8, 4.96
1921, 9, 5.07
1921,10, 4.57
1921,11, 4.51
1921,12, 4.74
1922, 1, 4.67
1922, 2, 4.70
1922, 3, 5.00
1922, 4, 5.01
1922, 5, 4.99
1922, 6, 4.76
1922, 7, 4.39
1922, 8, 4.50
1922, 9, 4.53
1922,10, 4.47
1922,11, 4.64
1922,12, 4.96
1923, 1, 5.01
1923, 2, 4.81
1923, 3, 4.69
1923, 4, 4.48
1923, 5, 4.54
1923, 6, 4.67
1923, 7, 4.75
1923, 8, 4.82
1923, 9, 5.10
1923,10, 4.88
1923,11, 4.59
1923,12, 4.62
1924, 1, 4.53
1924, 2, 4.57
1924, 3, 4.72
1924, 4, 4.76
1924, 5, 5.03
1924, 6, 5.04
1924, 7, 4.59
1924, 8, 4.48
1924, 9, 4.54
1924,10, 4.35
1924,11, 4.49
1924,12, 4.68
1925, 1, 4.63
1925, 2, 4.84
1925, 3, 4.55
1925, 4, 4.20
1925, 5, 4.27
1925, 6, 4.34
1925, 7, 4.32
1925, 8, 4.62
1925, 9, 4.81
1925,10, 4.85
1925,11, 4.70
1925,12, 4.49
1926, 1, 4.39
1926, 2, 4.47
1926, 3, 4.60
1926, 4, 4.59
1926, 5, 4.70
1926, 6, 4.99
1926, 7, 4.79
1926, 8, 4.21
1926, 9, 4.14
1926,10, 4.11
1926,11, 4.21
1926,12, 4.31
1927, 1, 4.26
1927, 2, 4.66
1927, 3, 4.96
1927, 4, 4.49
1927, 5, 4.28
1927, 6, 4.32
1927, 7, 4.19
1927, 8, 4.22
1927, 9, 4.42
1927,10, 4.33
1927,11, 4.63
1927,12, 4.64
1928, 1, 4.28
1928, 2, 4.13
1928, 3, 4.25
1928, 4, 4.21
1928, 5, 4.34
1928, 6, 4.58
1928, 7, 4.73
1928, 8, 4.69
1928, 9, 4.33
1928,10, 4.16
1928,11, 4.12
1928,12, 4.25
1929, 1, 4.18
1929, 2, 4.32
1929, 3, 4.58
1929, 4, 4.78
1929, 5, 4.49
1929, 6, 4.20
1929, 7, 4.37
1929, 8, 4.38
1929, 9, 4.37
1929,10, 4.57
1929,11, 4.82
1929,12, 5.07
1930, 1, 5.02
1930, 2, 4.87
1930, 3, 4.82
1930, 4, 4.79
1930, 5, 4.87
1930, 6, 4.98
1930, 7, 5.16
1930, 8, 5.43
1930, 9, 5.30
1930,10, 4.86
1930,11, 4.83
1930,12, 4.84
1931, 1, 4.89
1931, 2, 4.89
1931, 3, 5.10
1931, 4, 5.32
1931, 5, 4.88
1931, 6, 4.62
1931, 7, 4.31
1931, 8, 4.37
1931, 9, 4.38
1931,10, 4.30
1931,11, 4.40
1931,12, 4.72
1932, 1, 4.77
1932, 2, 4.55
1932, 3, 4.46
1932, 4, 4.29
1932, 5, 4.32
1932, 6, 4.32
1932, 7, 4.52
1932, 8, 4.75
1932, 9, 4.94
1932,10, 4.76
1932,11, 4.57
1932,12, 4.55
1933, 1, 4.50
1933, 2, 4.54
1933, 3, 4.61
1933, 4, 4.74
1933, 5, 4.93
1933, 6, 4.95
1933, 7, 4.57
1933, 8, 4.38
1933, 9, 4.58
1933,10, 4.45
1933,11, 4.42
1933,12, 4.68
1934, 1, 4.77
1934, 2, 4.87
1934, 3, 4.69
1934, 4, 4.32
1934, 5, 4.21
1934, 6, 4.33
1934, 7, 4.38
1934, 8, 4.50
1934, 9, 4.68
1934,10, 4.79
1934,11, 4.68
1934,12, 4.49
1935, 1, 4.26
1935, 2, 4.38
1935, 3, 4.59
1935, 4, 4.61
1935, 5, 4.71
1935, 6, 4.97
1935, 7, 4.81
1935, 8, 4.22
1935, 9, 4.33
1935,10, 4.31
1935,11, 4.27
1935,12, 4.47
1936, 1, 4.45
1936, 2, 4.61
1936, 3, 4.80
1936, 4, 4.40
1936, 5, 4.07
1936, 6, 4.18
1936, 7, 4.17
1936, 8, 3.97
1936, 9, 4.20
1936,10, 4.32
1936,11, 4.48
1936,12, 4.40
1937, 1, 4.25
1937, 2, 4.12
1937, 3, 4.19
1937, 4, 4.15
1937, 5, 4.21
1937, 6, 4.37
1937, 7, 4.39
1937, 8, 4.43
1937, 9, 4.13
1937,10, 3.91
1937,11, 4.07
1937,12, 4.21
1938, 1, 4.04
1938, 2, 4.20
1938, 3, 4.67
1938, 4, 4.71
1938, 5, 4.48
1938, 6, 4.34
1938, 7, 4.24
1938, 8, 4.25
1938, 9, 4.38
1938,10, 4.45
1938,11, 4.66
1938,12, 5.10
1939, 1, 4.89
1939, 2, 4.73
1939, 3, 4.78
1939, 4, 4.66
1939, 5, 4.76
1939, 6, 5.00
1939, 7, 4.93
1939, 8, 5.11
1939, 9, 5.24
1939,10, 4.74
1939,11, 4.64
1939,12, 4.86
1940, 1, 4.70
1940, 2, 4.71
1940, 3, 4.97
1940, 4, 5.09
1940, 5, 4.87
1940, 6, 4.73
1940, 7, 4.40
1940, 8, 4.39
1940, 9, 4.56
1940,10, 4.49
1940,11, 4.57
1940,12, 4.84
1941, 1, 4.91
1941, 2, 4.61
1941, 3, 4.55
1941, 4, 4.35
1941, 5, 4.42
1941, 6, 4.66
1941, 7, 4.68
1941, 8, 4.78
1941, 9, 5.04
1941,10, 4.87
1941,11, 4.55
1941,12, 4.59
1942, 1, 4.51
1942, 2, 4.51
1942, 3, 4.61
1942, 4, 4.76
1942, 5, 4.92
1942, 6, 4.92
1942, 7, 4.51
1942, 8, 4.35
1942, 9, 4.45
1942,10, 4.30
1942,11, 4.38
1942,12, 4.58
1943, 1, 4.63
1943, 2, 4.77
1943, 3, 4.50
1943, 4, 4.18
1943, 5, 4.22
1943, 6, 4.24
1943, 7, 4.23
1943, 8, 4.49
1943, 9, 4.66
1943,10, 4.76
1943,11, 4.64
1943,12, 4.51
1944, 1, 4.18
1944, 2, 4.23
1944, 3, 4.41
1944, 4, 4.31
1944, 5, 4.50
1944, 6, 4.76
1944, 7, 4.69
1944, 8, 4.35
1944, 9, 4.22
1944,10, 4.26
1944,11, 4.39
1944,12, 4.38
1945, 1, 4.42
1945, 2, 4.55
1945, 3, 4.83
1945, 4, 4.49
1945, 5, 4.27
1945, 6, 4.26
1945, 7, 4.24
1945, 8, 4.24
1945, 9, 4.44
1945,10, 4.50
1945,11, 4.62
1945,12, 4.62
1946, 1, 4.26
1946, 2, 4.08
1946, 3, 4.29
1946, 4, 4.22
1946, 5, 4.39
1946, 6, 4.72
1946, 7, 4.62
1946, 8, 4.70
1946, 9, 4.37
1946,10, 4.01
1946,11, 4.06
1946,12, 4.20
1947, 1, 3.95
1947, 2, 4.32
1947, 3, 4.72
1947, 4, 4.76
1947, 5, 4.48
1947, 6, 4.33
